symbol,setup,side,setup_date,entry_timestamp,entry,stop,target,exit_timestamp,exit,net_pct,r,exit_reason
GICRE.NS,liquidity_sweep_short,-1,2025-10-07,2025-10-08 03:45:00+00:00,365.467175,377.05,330.71869999999996,2025-10-17 04:45:00+00:00,377.05,-3.369320199550073,-1.0,stop
ABB.NS,liquidity_sweep_long,1,2025-10-09,2025-10-10 03:45:00+00:00,5208.603,5066.955,5633.5470000000005,2025-10-27 09:45:00+00:00,5233.0,0.26839814821747665,0.17223681237998356,time
WHIRLPOOL.NS,liquidity_sweep_long,1,2025-10-09,2025-10-10 04:45:00+00:00,1169.68455,1130.725,1286.5632,2025-10-17 03:45:00+00:00,1286.5632,9.792322288945352,3.0,target
CREDITACC.NS,liquidity_sweep_long,1,2025-10-20,2025-10-23 04:15:00+00:00,1302.8510999999999,1261.04,1428.2843999999996,2025-10-24 09:45:00+00:00,1428.2843999999996,9.427600575384226,3.0,target
APOLLOHOSP.NS,liquidity_sweep_short,-1,2025-10-23,2025-10-24 04:15:00+00:00,7896.05,8110.9,7251.500000000002,2025-11-07 09:45:00+00:00,7642.0,3.017431500560409,1.1824528740982119,time
JSWCEMENT.NS,liquidity_sweep_long,1,2025-10-24,2025-10-27 03:45:00+00:00,137.08851,133.4025,148.14654000000004,2025-11-06 03:45:00+00:00,133.4025,-2.8887811385505686,-1.0,stop
GRASIM.NS,liquidity_sweep_long,1,2025-11-07,2025-11-10 03:45:00+00:00,2744.9718,2670.825,2967.4121999999998,2025-11-21 09:45:00+00:00,2723.0,-1.000438095575328,-0.29632836481142555,time
INDIGO.NS,liquidity_sweep_long,1,2025-11-10,2025-11-11 04:15:00+00:00,5651.8245,5530.4,6016.098,2025-11-18 04:15:00+00:00,5799.5,2.412881910965216,1.2161919546714228,stop
PFC.NS,liquidity_sweep_long,1,2025-11-11,2025-11-12 03:45:00+00:00,380.08994999999993,368.7125,414.2222999999998,2025-11-24 03:45:00+00:00,368.7125,-3.193357230308235,-1.0,stop
TORNTPHARM.NS,liquidity_sweep_short,-1,2025-11-11,2025-11-12 04:45:00+00:00,3791.80315,3888.245,3502.477600000001,2025-11-25 09:45:00+00:00,3738.4,1.2083840296403596,0.5537341931951768,time
DELHIVERY.NS,liquidity_sweep_long,1,2025-11-12,2025-11-13 04:15:00+00:00,434.71725,421.0325,475.77149999999983,2025-11-21 03:45:00+00:00,421.0325,-3.34796571794654,-1.0,stop
FORTIS.NS,liquidity_sweep_long,1,2025-11-19,2025-11-20 04:15:00+00:00,938.8692,910.29,1024.6068,2025-11-28 05:15:00+00:00,910.29,-3.24400229552743,-1.0,stop
LTM.NS,liquidity_sweep_short,-1,2025-11-20,2025-11-21 03:45:00+00:00,5954.521250000001,6101.85,5512.535000000002,2025-11-28 09:45:00+00:00,6101.85,-2.67423333991796,-1.0,stop
CGPOWER.NS,liquidity_sweep_long,1,2025-11-25,2025-11-26 03:45:00+00:00,688.8942749999999,676.1949999999999,726.9920999999997,2025-11-28 03:45:00+00:00,676.1949999999999,-2.0434287322245415,-1.0,stop
HAVELLS.NS,liquidity_sweep_long,1,2025-11-25,2025-11-26 04:15:00+00:00,1441.2202499999999,1410.08,1534.6409999999996,2025-12-03 05:45:00+00:00,1410.08,-2.3606864044548312,-1.0,stop
IRFC.NS,liquidity_sweep_long,1,2025-11-25,2025-11-26 03:45:00+00:00,118.31913,115.4805,126.83501999999999,2025-12-03 04:15:00+00:00,115.4805,-2.599130216728263,-1.0,stop
NTPCGREEN.NS,liquidity_sweep_long,1,2025-11-25,2025-11-26 04:15:00+00:00,95.657805,93.511,102.09822,2025-12-02 04:15:00+00:00,93.511,-2.444254925146987,-1.0,stop
SOLARINDS.NS,liquidity_sweep_long,1,2025-11-28,2025-12-01 04:45:00+00:00,13411.7025,13103.9,14335.109999999999,2025-12-03 04:15:00+00:00,13103.9,-2.495029285059073,-1.0,stop
ADANIPORTS.NS,liquidity_sweep_short,-1,2025-12-01,2025-12-02 03:45:00+00:00,1518.74025,1551.59,1420.1910000000005,2025-12-10 03:45:00+00:00,1518.74025,-0.2,-0.0,stop
LODHA.NS,liquidity_sweep_long,1,2025-12-04,2025-12-05 05:15:00+00:00,1122.66105,1091.03,1217.5541999999998,2025-12-08 04:45:00+00:00,1091.03,-3.0175066730960305,-1.0,stop
MAHABANK.NS,liquidity_sweep_long,1,2025-12-04,2025-12-05 04:15:00+00:00,57.158565,55.6305,61.74276000000002,2025-12-09 03:45:00+00:00,55.6305,-2.8733788715654516,-1.0,stop
SHRIRAMFIN.NS,liquidity_sweep_short,-1,2025-12-18,2025-12-19 03:45:00+00:00,858.120725,878.8475,795.9404000000001,2025-12-19 06:45:00+00:00,878.8475,-2.615368187267587,-1.0,stop
ATGL.NS,liquidity_sweep_long,1,2025-12-24,2025-12-26 03:45:00+00:00,571.1354249999999,560.09,604.2716999999997,2026-01-01 04:15:00+00:00,604.2716999999997,5.601824497228434,3.0,target
BOSCHLTD.NS,liquidity_sweep_long,1,2025-12-30,2025-12-31 04:45:00+00:00,36073.0275,34933.0,39493.109999999986,2026-01-02 09:15:00+00:00,39493.109999999986,9.280996570082703,3.0,target
CLEAN.NS,liquidity_sweep_long,1,2026-01-06,2026-01-07 04:15:00+00:00,869.2844249999999,854.2,914.5376999999996,2026-01-08 09:45:00+00:00,854.2,-1.9352692129506286,-1.0,stop
TATACHEM.NS,liquidity_sweep_long,1,2026-01-06,2026-01-07 03:45:00+00:00,763.731675,740.82,832.4666999999998,2026-01-20 03:45:00+00:00,740.82,-3.1999639598553964,-1.0,stop
PETRONET.NS,liquidity_sweep_short,-1,2026-01-07,2026-01-08 03:45:00+00:00,290.15485,300.27,259.8094000000001,2026-01-22 09:45:00+00:00,276.5,4.50605609384093,1.3499404358808371,time
SHYAMMETL.NS,liquidity_sweep_long,1,2026-01-12,2026-01-13 03:45:00+00:00,811.255425,791.2175,871.3691999999999,2026-01-16 08:45:00+00:00,811.255425,-0.2,0.0,stop
SONACOMS.NS,liquidity_sweep_long,1,2026-01-12,2026-01-13 04:15:00+00:00,460.22999999999996,445.87,503.30999999999983,2026-01-19 09:45:00+00:00,445.87,-3.3201790409143164,-1.0,stop
HDFCAMC.NS,liquidity_sweep_long,1,2026-01-13,2026-01-14 03:45:00+00:00,2466.8327999999997,2397.54,2674.711199999999,2026-01-16 06:45:00+00:00,2567.95,3.899069868051055,1.4592742680336277,stop
ABB.NS,liquidity_sweep_long,1,2026-01-21,2026-01-22 03:45:00+00:00,4790.894249999999,4628.8,5277.176999999997,2026-01-29 05:45:00+00:00,5277.176999999997,9.95014576871526,3.0,target
